Sample,Project
PD5163d_lo0034,1805
PD5163d_lo0035,1805
PD5163d_lo0036,1805
PD5163d_lo0037,1805
PD5163d_lo0038,1805
PD5163d_lo0039,1805
PD5163d_lo0040,1805
PD5163d_lo0041,1805
PD5163d_lo0042,1805
PD5163d_lo0043,1805
PD5163d_lo0044,1805
PD5163d_lo0045,1805
PD5163d_lo0046,1805
PD5163d_lo0051,1805
PD5163d_lo0055,1805
PD5163d_lo0056,1805
PD5163d_lo0057,1805
PD5163d_lo0058,1805
PD5163d_lo0059,1805
PD5163d_lo0063,1805
PD5163d_lo0064,1805
PD5163d_lo0065,1805
PD5163d_lo0066,1805
PD5163d_lo0067,1805
PD5163d_lo0070,1805
PD5163d_lo0072,1805
PD5163d_lo0073,1805
PD5163d_lo0074,1805
PD5163d_lo0076,1805
PD5163d_lo0077,1805
PD5163d_lo0079,1805
PD5163d_lo0080,1805
PD5163d_lo0081,1805
PD5163d_lo0082,1805
PD5163d_lo0084,1805
PD5163d_lo0085,1805
PD5163d_lo0086,1805
PD5163d_lo0087,1805
PD5163d_lo0088,1805
PD5163d_lo0089,1805
PD5163d_lo0091,1805
PD5163d_lo0092,1805
PD5163d_lo0094,1805
PD5179aa,1805
PD5179ab,1805
PD5179ac,1805
PD5179ad,1805
PD5179ae,1805
PD5179af,1805
PD5179ag,1805
PD5179ah,1805
PD5179ai,1805
PD5179aj,1805
PD5179ak,1805
PD5179al,1805
PD5179am,1805
PD5179an,1805
PD5179ao,1805
PD5179ap,1805
PD5179aq,1805
PD5179ar,1805
PD5179as,1805
PD5179at,1805
PD5179au,1805
PD5179av,1805
PD5179aw,1805
PD5179ax,1805
PD5179ay,1805
PD5179ba,1805
PD5179bb,1805
PD5179bc,1805
PD5179bd,1805
PD5179be,1805
PD5179bf,1805
PD5179bg,1805
PD5179bh,1805
PD5179bi,1805
PD5179bj,1805
PD5179bk,1805
PD5179bl,1805
PD5179bm,1805
PD5179bo,1805
PD5179bp,1805
PD5179bq,1805
PD5179br,1805
PD5179bs,1805
PD5179bt,1805
PD5179bu,1805
PD5179bv,1805
PD5179bw,1805
PD5179bx,1805
PD5179by,1805
PD5179bz,1805
PD5179ca,1805
PD5179cb,1805
PD5179cc,1805
PD5179ce,1805
PD5179cf,1805
PD5179cg,1805
PD5179ch,1805
PD5179ci,1805
PD5179cj,1805
PD5179ck,1805
PD5179cl,1805
PD5179cm,1805
PD5179cn,1805
PD5179co,1805
PD5179cp,1805
PD5179cq,1805
PD5179cr,1805
PD5179cs,1805
PD5179ct,1805
PD5179cu,1805
PD5179cv,1805
PD5179cw,1805
PD5179cx,1805
PD5179cy,1805
PD5179cz,1805
PD5179da,1805
PD5179db,1805
PD5179dc,1805
PD5179dd,1805
PD5179m,1805
PD5179n,1805
PD5179o,1805
PD5179p,1805
PD5179q,1805
PD5179r,1805
PD5179s,1805
PD5179t,1805
PD5179u,1805
PD5179v,1805
PD5179w,1805
PD5179x,1805
PD5179y,1805
PD5179z,1805
PD5182aa,1805
PD5182ab,1805
PD5182ac,1805
PD5182ad,1805
PD5182af,1805
PD5182ag,1805
PD5182ah,1805
PD5182ai,1805
PD5182aj,1805
PD5182ak,1805
PD5182al,1805
PD5182am,1805
PD5182an,1805
PD5182ao,1805
PD5182ap,1805
PD5182aq,1805
PD5182ar,1805
PD5182as,1805
PD5182b3,1805
PD5182b4,1805
PD5182db_lo0001,1805
PD5182db_lo0002,1805
PD5182db_lo0003,1805
PD5182db_lo0004,1805
PD5182db_lo0005,1805
PD5182db_lo0006,1805
PD5182db_lo0007,1805
PD5182db_lo0008,1805
PD5182db_lo0009,1805
PD5182db_lo0010,1805
PD5182db_lo0011,1805
PD5182db_lo0012,1805
PD5182db_lo0013,1805
PD5182db_lo0014,1805
PD5182db_lo0015,1805
PD5182db_lo0016,1805
PD5182db_lo0017,1805
PD5182db_lo0018,1805
PD5182db_lo0019,1805
PD5182db_lo0020,1805
PD5182db_lo0021,1805
PD5182db_lo0022,1805
PD5182db_lo0023,1805
PD5182db_lo0024,1805
PD5182db_lo0025,1805
PD5182db_lo0026,1805
PD5182db_lo0027,1805
PD5182db_lo0028,1805
PD5182db_lo0029,1805
PD5182db_lo0030,1805
PD5182db_lo0031,1805
PD5182db_lo0032,1805
PD5182dl_lo0001,1805
PD5182dl_lo0002,1805
PD5182dl_lo0007,1805
PD5182dl_lo0008,1805
PD5182dl_lo0010,1805
PD5182dl_lo0011,1805
PD5182dl_lo0012,1805
PD5182dl_lo0013,1805
PD5182dl_lo0014,1805
PD5182dl_lo0015,1805
PD5182dl_lo0016,1805
PD5182dl_lo0017,1805
PD5182dl_lo0018,1805
PD5182dl_lo0019,1805
PD5182dl_lo0020,1805
PD5182dl_lo0021,1805
PD5182dl_lo0022,1805
PD5182dl_lo0023,1805
PD5182dl_lo0025,1805
PD5182dl_lo0026,1805
PD5182dl_lo0027,1805
PD5182dl_lo0028,1805
PD5182dl_lo0029,1805
PD5182dl_lo0030,1805
PD5182dl_lo0031,1805
PD5182dl_lo0032,1805
PD5182dl_lo0033,1805
PD5182dl_lo0034,1805
PD5182dl_lo0035,1805
PD5182dl_lo0036,1805
PD5182dl_lo0037,1805
PD5182dl_lo0038,1805
PD5182dl_lo0039,1805
PD5182dl_lo0040,1805
PD5182dl_lo0043,1805
PD5182dl_lo0044,1805
PD5182dl_lo0046,1805
PD5182dl_lo0047,1805
PD5182dl_lo0048,1805
PD5182dl_lo0049,1805
PD5182dl_lo0050,1805
PD5182dl_lo0051,1805
PD5182dl_lo0052,1805
PD5182dl_lo0053,1805
PD5182dl_lo0054,1805
PD5182dl_lo0055,1805
PD5182dl_lo0056,1805
PD5182dl_lo0057,1805
PD5182dl_lo0058,1805
PD5182dl_lo0059,1805
PD5182dl_lo0060,1805
PD5182dl_lo0061,1805
PD5182dl_lo0062,1805
PD5182dl_lo0063,1805
PD5182dl_lo0064,1805
PD5182dl_lo0066,1805
PD5182dl_lo0067,1805
PD5182dl_lo0069,1805
PD5182dl_lo0071,1805
PD5182dl_lo0073,1805
PD5182dl_lo0074,1805
PD5182dl_lo0075,1805
PD5182dl_lo0076,1805
PD5182dl_lo0079,1805
PD5182dl_lo0080,1805
PD5182dl_lo0081,1805
PD5182dl_lo0083,1805
PD5182dl_lo0084,1805
PD5182dl_lo0086,1805
PD5182dl_lo0087,1805
PD5182dl_lo0089,1805
PD5182dl_lo0090,1805
PD5182dl_lo0092,1805
PD5182dl_lo0093,1805
PD5182dl_lo0094,1805
PD5182dl_lo0095,1805
PD5182dl_lo0096,1805
PD5182j,1805
PD5182k,1805
PD5182l,1805
PD5182m,1805
PD5182n,1805
PD5182o,1805
PD5182p,1805
PD5182q,1805
PD5182r,1805
PD5182s,1805
PD5182t,1805
PD5182u,1805
PD5182v,1805
PD5182w,1805
PD5182x,1805
PD5182y,1805
PD5182z,1805
PD5847b3,1805
PD5847b4,1805
PD5847h_lo0001,1805
PD5847h_lo0002,1805
PD5847h_lo0003,1805
PD5847h_lo0004,1805
PD5847h_lo0005,1805
PD5847h_lo0006,1805
PD5847h_lo0007,1805
PD5847h_lo0008,1805
PD5847h_lo0009,1805
PD5847h_lo0010,1805
PD5847h_lo0011,1805
PD5847h_lo0012,1805
PD5847h_lo0013,1805
PD5847h_lo0014,1805
PD5847h_lo0015,1805
PD5847h_lo0016,1805
PD5847h_lo0017,1805
PD5847h_lo0018,1805
PD5847h_lo0019,1805
PD5847h_lo0022,1805
PD5847h_lo0023,1805
PD5847h_lo0024,1805
PD5847h_lo0025,1805
PD5847h_lo0026,1805
PD5847h_lo0027,1805
PD5847h_lo0028,1805
PD5847h_lo0029,1805
PD5847h_lo0030,1805
PD5847h_lo0031,1805
PD5847h_lo0032,1805
PD5847h_lo0033,1805
PD5847h_lo0035,1805
PD5847h_lo0036,1805
PD5847h_lo0097,1805
PD5847h_lo0098,1805
PD5847h_lo0099,1805
PD5847h_lo0100,1805
PD5847h_lo0101,1805
PD5847h_lo0102,1805
PD5847h_lo0103,1805
PD5847h_lo0104,1805
PD5847h_lo0105,1805
PD5847h_lo0106,1805
PD5847h_lo0107,1805
PD5847h_lo0108,1805
PD5847h_lo0109,1805
PD5847h_lo0110,1805
PD5847h_lo0111,1805
PD5847h_lo0112,1805
PD5847h_lo0113,1805
PD5847h_lo0115,1805
PD5847h_lo0116,1805
PD5847h_lo0117,1805
PD5847h_lo0118,1805
PD5847h_lo0120,1805
PD5847h_lo0121,1805
PD5847h_lo0122,1805
PD5847h_lo0123,1805
PD5847h_lo0124,1805
PD5847h_lo0125,1805
PD5847h_lo0126,1805
PD5847h_lo0127,1805
PD5847h_lo0128,1805
PD5847h_lo0129,1805
PD5847h_lo0130,1805
PD5847h_lo0131,1805
PD5847h_lo0132,1805
PD5847h_lo0133,1805
PD5847h_lo0135,1805
PD5847h_lo0136,1805
PD5847h_lo0137,1805
PD5847h_lo0138,1805
PD5847h_lo0139,1805
PD5847h_lo0140,1805
PD5847h_lo0142,1805
PD5847h_lo0143,1805
PD5847h_lo0144,1805
PD5847h_lo0145,1805
PD5847h_lo0146,1805
PD5847h_lo0148,1805
PD5847h_lo0151,1805
PD5847h_lo0152,1805
PD5847h_lo0154,1805
PD5847h_lo0155,1805
PD5847h_lo0156,1805
PD5847h_lo0157,1805
PD5847h_lo0158,1805
PD5847h_lo0160,1805
PD5847h_lo0161,1805
PD5847h_lo0163,1805
PD5847h_lo0164,1805
PD5847h_lo0169,1805
PD5847h_lo0170,1805
PD5847h_lo0171,1805
PD5847h_lo0172,1805
PD5847h_lo0173,1805
PD5847h_lo0174,1805
PD5847h_lo0175,1805
PD5847h_lo0176,1805
PD5847h_lo0177,1805
PD5847h_lo0178,1805
PD5847h_lo0179,1805
PD5847h_lo0180,1805
PD5847h_lo0181,1805
PD5847h_lo0182,1805
PD5847h_lo0183,1805
PD5847h_lo0184,1805
PD5847h_lo0185,1805
PD5847h_lo0186,1805
PD5847h_lo0187,1805
PD5847h_lo0188,1805
PD5847h_lo0189,1805
PD5847h_lo0190,1805
PD5847h_lo0191,1805
PD5847h_lo0192,1805
PD6629aa,1805
PD6629ab,1805
PD6629ac,1805
PD6629ad,1805
PD6629ae,1805
PD6629af,1805
PD6629ag,1805
PD6629ah,1805
PD6629ai,1805
PD6629aj,1805
