mut_ref1	node	Sample_ID	lesion_node	lesion_timing	lesion_repair_node	lesion_repair_timing	lesion_duration	no_of_cell_divisions	result	data_type	by_chance_prob
321	529	CB002_2_01	529	15	530	18	3	3	PASS	simulation	5.95402194765636
329	632	CB002_2_01	632	13	633	15	2	4	PASS	simulation	5.88460053889789
339	500	CB002_2_01	500	23	501	24	1	3	PASS	simulation	5.76089734930189
343	434	CB002_2_01	434	17	435	20	3	4	PASS	simulation	5.97175071461679
344	588	CB002_2_01	588	12	589	19	7	3	PASS	simulation	5.90480392498617
353	444	CB002_2_01	444	19	448	26	7	6	PASS	simulation	5.57381070594475
357	452	CB002_2_01	452	20	453	22	2	3	PASS	simulation	5.86294147830902
360	391	CB002_2_01	391	18	392	33	15	3	PASS	simulation	6.14784197367247
362	592	CB002_2_01	592	7	594	9	2	3	PASS	simulation	5.8652953837025
365	627	CB002_2_01	627	11	629	17	6	4	PASS	simulation	6.05093196066441
370	493	CB002_2_01	490	16	492	18	2	3	PASS	simulation	7.35196195632839
374	623	CB002_2_01	623	6	624	10	4	4	PASS	simulation	6.39771944688907
378	488	CB002_2_01	488	22	489	25	3	3	PASS	simulation	5.84007859534952
379	456	CB002_2_01	456	20	457	21	1	3	PASS	simulation	5.99657429834182
380	538	CB002_2_01	538	20	539	22	2	4	PASS	simulation	5.79365347286351
387	649	CB002_2_01	649	10	650	16	6	4	PASS	simulation	6.74990196500043
388	568	CB002_2_01	568	24	569	27	3	4	PASS	simulation	5.58480609024621
400	599	CB002_2_01	599	6	601	17	11	4	PASS	simulation	6.78769052588983
401	423	CB002_2_01	421	13	422	23	10	3	PASS	simulation	6.9839851710338
404	584	CB002_2_01	584	17	585	23	6	3	PASS	simulation	7.0161698544052
409	628	CB002_2_01	628	16	629	17	1	3	PASS	simulation	5.79767474679643
410	547	CB002_2_01	547	18	548	22	4	3	PASS	simulation	5.99977943821703
411	422	CB002_2_01	422	23	424	30	7	3	PASS	simulation	5.92599322405611
417	558	CB002_2_01	558	11	559	12	1	3	PASS	simulation	6.65299195199237
420	556	CB002_2_01	556	9	558	11	2	4	PASS	simulation	6.23801860402156
426	398	CB002_2_01	398	17	402	33	16	4	PASS	simulation	6.44887196933645
433	444	CB002_2_01	444	19	448	26	7	6	PASS	simulation	5.63875151287776
434	476	CB002_2_01	476	21	477	23	2	3	PASS	simulation	6.06941536635843
442	632	CB002_2_01	632	13	633	15	2	4	PASS	simulation	5.88460053889789
443	618	CB002_2_01	618	16	619	17	1	3	PASS	simulation	6.3666852131491
454	442	CB002_2_01	442	16	443	18	2	3	PASS	simulation	5.7837602322614
457	547	CB002_2_01	547	18	549	19	1	4	PASS	simulation	6.06941536635843
459	651	CB002_2_01	651	3	652	9	6	4	PASS	simulation	7.82908321104806
467	552	CB002_2_01	552	27	553	31	4	3	PASS	simulation	6.2976042940058
468	552	CB002_2_01	552	27	554	38	11	3	PASS	simulation	6.35196195632839
482	572	CB002_2_01	572	17	573	20	3	3	PASS	simulation	6.29126411597478
490	583	CB002_2_01	583	16	585	23	7	4	PASS	simulation	6.13447801211449
491	551	CB002_2_01	551	25	552	27	2	3	PASS	simulation	6.04732783639559
494	452	CB002_2_01	452	20	453	22	2	3	PASS	simulation	5.86294147830902
498	612	CB002_2_01	612	13	613	15	2	3	PASS	simulation	5.60766897320572
503	488	CB002_2_01	488	22	489	25	3	3	PASS	simulation	5.9839851710338
507	533	CB002_2_01	533	15	534	18	3	4	PASS	simulation	6.02974266159447
508	500	CB002_2_01	500	23	501	24	1	3	PASS	simulation	5.93698860835758
514	434	CB002_2_01	434	17	435	20	3	4	PASS	simulation	6.06565521748512
535	439	CB002_2_01	439	9	446	27	18	5	PASS	simulation	6.92599322405611
557	627	CB002_2_01	627	11	628	16	5	3	PASS	simulation	5.94826961876726
558	600	CB002_2_01	600	11	601	17	6	3	PASS	simulation	6.08872052155381
559	398	CB002_2_01	398	17	399	23	6	3	PASS	simulation	6.27278071028077
560	558	CB002_2_01	558	11	562	23	12	7	PASS	simulation	6.9839851710338
561	422	CB002_2_01	422	23	424	30	7	3	PASS	simulation	5.92599322405611
572	612	CB002_2_01	612	13	613	15	2	3	PASS	simulation	5.60766897320572
