Sample,Project
PD45794b_lo0017,2189
PD45794b_lo0018,2189
PD45794b_lo0019,2189
PD45794b_lo0021,2189
PD45794b_lo0025,2189
PD45794b_lo0027,2189
PD45794b_lo0028,2189
PD45794b_lo0029,2189
PD45794b_lo0031,2189
PD45794b_lo0032,2189
PD45794b_lo0034,2189
PD45794b_lo0035,2189
PD45794b_lo0036,2189
PD45794b_lo0037,2189
PD45794b_lo0038,2189
PD45794b_lo0039,2189
PD45794b_lo0040,2189
PD45794b_lo0041,2189
PD45794b_lo0043,2189
PD45794b_lo0044,2189
PD45794b_lo0045,2189
PD45794b_lo0048,2189
PD45794b_lo0049,2189
PD45794b_lo0050,2189
PD45794b_lo0051,2189
PD45794b_lo0052,2189
PD45794b_lo0053,2189
PD45794b_lo0054,2189
PD45794b_lo0055,2189
PD45794b_lo0057,2189
PD45794b_lo0058,2189
PD45794b_lo0059,2189
PD45794b_lo0060,2189
PD45794b_lo0061,2189
PD45794b_lo0062,2189
PD45794b_lo0063,2189
PD45794b_lo0064,2189
PD45794b_lo0065,2189
PD45794b_lo0067,2189
PD45794b_lo0289,2448
PD45794b_lo0290,2448
PD45794b_lo0292,2448
PD45794b_lo0293,2448
PD45794b_lo0294,2448
PD45794b_lo0295,2448
PD45794b_lo0296,2448
PD45794b_lo0297,2448
PD45794b_lo0298,2448
PD45794b_lo0299,2448
PD45794b_lo0300,2448
PD45794b_lo0301,2448
PD45794b_lo0302,2448
PD45794b_lo0303,2448
PD45794b_lo0304,2448
PD45794b_lo0306,2448
PD45794b_lo0307,2448
PD45794b_lo0308,2448
PD45794b_lo0309,2448
PD45794b_lo0310,2448
PD45794b_lo0311,2448
PD45794b_lo0313,2448
PD45794b_lo0314,2448
PD45794b_lo0315,2448
PD45794b_lo0316,2448
PD45794b_lo0317,2448
PD45794b_lo0318,2448
PD45794b_lo0320,2448
PD45794b_lo0323,2448
PD45794b_lo0324,2448
PD45794b_lo0332,2448
PD45794b_lo0336,2448
PD45794b_lo0341,2448
PD45794b_lo0342,2448
PD45794b_lo0343,2448
PD45794b_lo0347,2448
PD45794b_lo0348,2448
PD45794b_lo0349,2448
PD45794b_lo0350,2448
PD45794b_lo0351,2448
PD45794b_lo0352,2448
PD45794b_lo0353,2448
PD45794b_lo0354,2448
PD45794b_lo0357,2448
PD45794b_lo0358,2448
PD45794b_lo0361,2448
PD45794b_lo0362,2448
PD45794b_lo0365,2448
PD45794b_lo0367,2448
PD45794b_lo0368,2448
PD45794b_lo0369,2448
PD45794b_lo0370,2448
PD45794b_lo0371,2448
PD45794b_lo0372,2448
PD45794b_lo0374,2448
PD45794b_lo0375,2448
PD45794b_lo0376,2448
PD45794b_lo0377,2448
PD45794b_lo0379,2448
PD45794b_lo0384,2448
PD45795b_lo0004,2189
PD45795b_lo0005,2189
PD45795b_lo0007,2189
PD45795b_lo0010,2189
PD45795b_lo0011,2189
PD45795b_lo0012,2189
PD45795b_lo0013,2189
PD45795b_lo0015,2189
PD45795b_lo0017,2189
PD45795b_lo0018,2189
PD45795b_lo0019,2189
PD45795b_lo0020,2189
PD45795b_lo0021,2189
PD45795b_lo0022,2189
PD45795b_lo0023,2189
PD45795b_lo0024,2189
PD45795b_lo0026,2189
PD45795b_lo0028,2189
PD45795b_lo0029,2189
PD45795b_lo0031,2189
PD45795b_lo0032,2189
PD45795b_lo0034,2189
PD45795b_lo0035,2189
PD45795b_lo0036,2189
PD45795b_lo0037,2189
PD45795b_lo0039,2189
PD45795b_lo0042,2189
PD45795b_lo0043,2189
PD45795b_lo0045,2189
PD45795b_lo0046,2189
PD45795b_lo0047,2189
PD45795b_lo0048,2189
PD45795b_lo0049,2189
PD45795b_lo0050,2189
PD45795b_lo0053,2189
PD45795b_lo0054,2189
PD45795b_lo0055,2189
PD45795b_lo0058,2189
PD45795b_lo0060,2189
PD45795b_lo0063,2189
PD45795b_lo0064,2189
PD45795b_lo0066,2189
PD45795b_lo0068,2189
PD45795b_lo0070,2189
PD45795b_lo0072,2189
PD45795b_lo0074,2189
PD45795b_lo0075,2189
PD45795b_lo0076,2189
PD45795b_lo0078,2189
PD45795b_lo0081,2189
PD45795b_lo0082,2189
PD45795b_lo0083,2189
PD45795b_lo0085,2189
PD45795b_lo0087,2189
PD45795b_lo0088,2189
PD45795b_lo0090,2189
PD45795b_lo0091,2189
PD45795b_lo0093,2189
PD45795b_lo0094,2189
PD45795b_lo0096,2189
PD45795b_lo0097,2189
PD45795b_lo0098,2256
PD45795b_lo0099,2189
PD45795b_lo0100,2256
PD45795b_lo0101,2189
PD45795b_lo0103,2189
PD45795b_lo0105,2189
PD45795b_lo0106,2189
PD45795b_lo0108,2189
PD45795b_lo0109,2256
PD45795b_lo0110,2189
PD45795b_lo0111,2189
PD45795b_lo0114,2189
PD45795b_lo0115,2189
PD45795b_lo0116,2189
PD45795b_lo0117,2256
PD45795b_lo0118,2256
PD45795b_lo0119,2256
